text,label
"یہ فلم بہت شاندار تھی اور اداکاری بھی لاجواب تھی۔",positive
"مجھے یہ ریسٹورنٹ بالکل پسند نہیں آیا، کھانا بہت برا تھا۔",negative
"موسم آج کل ٹھیک ہے، کوئی خاص بات نہیں۔",neutral
"بہترین سروس اور بہت اچھا اسٹاف!",positive
"پیسے کا ضیاع ہے یہ پروڈکٹ، کسی کو نہ خریدنے کا مشورہ دوں گا۔",negative
"اس کتاب میں کچھ معلومات دی گئی ہیں۔",neutral
"آج بہت خوبصورت دن تھا اور پکنک بہت مزے کی رہی۔",positive
"انتہائی مایوس کن تجربہ رہا، دوبارہ کبھی نہیں جاؤں گا۔",negative
"دفتر آج کل معمول کے مطابق کام کر رہا ہے۔",neutral
"یہ ہوٹل بہت صاف اور آرام دہ ہے۔",positive
"میں اس کمپنی کی سروس سے بالکل مطمئن نہیں ہوں۔",negative
"فلم کا دورانیہ دو گھنٹے ہے۔",neutral
"ان کا کسٹمر سپورٹ حیرت انگیز طور پر اچھا ہے۔",positive
"یہ کھانا اتنا برا تھا کہ میں نے آدھا چھوڑ دیا۔",negative
"اجلاس دس بجے شروع ہوگا۔",neutral
"بچوں نے پارک میں بہت اچھا وقت گزارا۔",positive
"ٹریفک جام کی وجہ سے میٹنگ میں دیر ہوئی، افسوس ناک۔",negative
"گاڑی کی قیمت درمیانی ہے۔",neutral
"واہ! کیا زبردست گانا ہے، دل خوش ہوگیا۔",positive
"اس ویب سائٹ کا انٹرفیس انتہائی خراب ڈیزائن کیا گیا ہے۔",negative
"یہ شہر دریا کے کنارے واقع ہے۔",neutral
"آج کا کھانا واقعی مزیدار تھا۔",positive
"میں ان کی کتابوں سے بالکل متاثر نہیں ہوا۔",negative
"یہ دکان مرکزی بازار میں ہے۔",neutral
"اس ہوٹل کا کمرہ بہت آرام دہ اور صاف تھا۔",positive
"سفر انتہائی تھکا دینے والا اور مایوس کن تھا۔",negative
"فلم کی لمبائی ڈھائی گھنٹے ہے۔",neutral
"بچوں کو یہ کھلونا بہت پسند آیا۔",positive
"پروڈکٹ کا معیار توقع سے بہت کم تھا۔",negative
"دکان صبح نو بجے کھلتی ہے۔",neutral
"bht acha experience raha, must try!",positive
"Service bilkul pasand nahi ayi, bht slow thi.",negative
"Yeh jagah theek hai, kuch khaas nahi.",neutral
